portfolio,fund_name,scheme_code,folio,platform,txn_type,txn_date,units,nav,notes
,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,,,,BUY,07-12-17,392.07,89.2698,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,24-09-18,614.655,16.27,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,02-11-18,620.323,94.2321,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,14-11-18,361.258,69.2026,
,Franklin Build India Fund - Direct - Growth,,,,BUY,07-01-19,117.975,42.382,
,SBI Conservative Hybrid Fund - Direct Plan - Growth,,,,BUY,07-01-19,116.714,40.1588,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,07-01-19,128.689,38.8535,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,08-02-19,51.977,96.2,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,18-02-19,67.086,37.2654,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,11-03-19,500,10,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,19-03-19,1000,10,
,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,,,,BUY,15-07-19,627.156,31.89,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,19-08-19,530.56,9.424,
,Franklin Build India Fund - Direct - Growth,,,,BUY,19-08-19,119.435,41.8637,
,SBI Conservative Hybrid Fund - Direct Plan - Growth,,,,BUY,19-08-19,230.591,41.9437,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,19-08-19,1579.762,9.4951,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,19-08-19,312.512,39.9985,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,06-01-20,48.188,10.376,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,20-01-20,47.015,10.635,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,20-01-20,4.561,109.6203,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,20-01-20,6.178,80.9313,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,27-01-20,46.481,10.757,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,03-02-20,47.678,10.487,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,10-02-20,46.343,10.789,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,17-02-20,46.616,10.726,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,20-02-20,47.859,10.4473,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-02-20,11.286,44.3041,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,20-02-20,4.625,108.1,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,20-02-20,6.25,80.0016,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,24-02-20,47.116,10.612,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,26-02-20,49.458,10.1095,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,02-03-20,49.169,10.169,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,05-03-20,15.583,99.1467,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,05-03-20,13.388,74.6829,
,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,,,,BUY,06-03-20,97.79,10.226,
,Franklin Build India Fund - Direct - Growth,,,,BUY,06-03-20,50.346,39.7249,
,SBI Conservative Hybrid Fund - Direct Plan - Growth,,,,BUY,06-03-20,35.262,44.2366,
,SBI Equity Minimum Variance Fund - Direct Plan - Growth,,,,BUY,06-03-20,154.654,9.6991,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,06-03-20,37.02,40.519,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,06-03-20,15.699,95.5462,
